"Created Date","Order ID","Query Class","Query Category","Product Name","SKU","Batch Number","Delivery Partner","Month","Week","Source"
"8/1/2025","HYP11614090","Delivery","Fake Order RTO","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11544270","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11129450","Delivery","Delayed Order","MANGO LIP SCREEN SPF 50 PA++++ WITH 2% KOJIC ACID","HYPMUBX034F010","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11444090","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11559220","Delivery","Delayed Order","Barrier Repair Moisturizer Normal to Dry - 50 ml ","HYPMUBX001F050","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11385630","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12228460","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11269170","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11603140","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11965080","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11900580","Delivery","Delayed Order","ALL I NEED SUNSCREEN SPF50 PA++++ | BRIGHTENS WITH NIACINAMIDE","HYPMUBX004F050","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","NA","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11754920","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11933310","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11820630","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11385710","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11387590","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12218800","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12220840","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12228050","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12208490","Delivery","Delayed Order","VIP MARSHMALLOW LIP BALM WITH 1% VIT E, 2% SQUALANE & PEPTIDES - 10G","HYPMUBX023F010","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11360230","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12097610","Delivery","Delayed Order","ALL I NEED SUNSCREEN SPF50 PA++++ | BRIGHTENS WITH NIACINAMIDE","HYPMUBX004F050","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11676650","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12057520","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12209130","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12193240","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11531170","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11938850","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11853470","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11308600","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11445740","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12217330","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11302740","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11427440","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12220250","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12204470","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11931750","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11694020","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11421130","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12063350","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11654630","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12190500","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12216290","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12217190","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12020510","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11152610","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11449560","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12140510","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12214310","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12081130","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12210430","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11710230","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11928830","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12216870","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP10944290","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11416090","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11176050","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11088200","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12177240","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12013500","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11476310","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12193440","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11934790","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12213180","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11635060","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP12209740","Delivery","Delayed Order","","","","","08_Aug'25","8_Aug Week 1","Whatsapp"
