"Created Date","Order ID","Query Class","Query Category","Product Name","SKU","Batch Number","Delivery Partner","Month","Week","Source"
"8/1/2025","HYP11852400","Product","Change in Smell/Texture/Colour/Consistency","VIP HAZEL LIP BALM WITH 1% VIT E, 2% SQUALANE & PEPTIDES - 10G","HYPMUBX022F010","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11941480","Product","Change in Smell/Texture/Colour/Consistency","0.1% RETINAL RESET SERUM PRO 30ML","HYPMUBX016F030","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11517160","Product","Reacted - Skin Irritation/Rashes","ALL I NEED SUNSCREEN SPF50 PA++++ | BRIGHTENS WITH NIACINAMIDE","HYPMUBX004F050","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11484830","Product","Product not Effective","SUN MILK 100% MINERAL SUNSCREEN SPF 50 PA++++","HYPMUBX030F050","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP10121950","Product","Reversed after effects","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11070380","Product","Reversed after effects","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","NA","Product","Product not Effective","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11121640","Product","Reacted - Skin Irritation/Rashes","ALL I NEED SUNSCREEN SPF50 PA++++ | BRIGHTENS WITH NIACINAMIDE","HYPMUBX004F050","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11447180","Product","Change in Smell/Texture/Colour/Consistency","VIP VINTAGE LIP BALM WITH 1% VIT E, 2% SQUALANE & PEPTIDES - 10G","HYPMUBX024F010","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11712090","Product","Change in Smell/Texture/Colour/Consistency","ALL I NEED SUNSCREEN SPF50 PA++++ | BRIGHTENS WITH NIACINAMIDE","HYPMUBX004F050","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/1/2025","HYP11436450","Product","Change in Smell/Texture/Colour/Consistency","VIP VINTAGE LIP BALM WITH 1% VIT E, 2% SQUALANE & PEPTIDES - 10G","HYPMUBX024F010","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/2/2025","HYP11752870","Product","Dissatisfied","VIP VINTAGE LIP BALM WITH 1% VIT E, 2% SQUALANE & PEPTIDES - 10G","HYPMUBX024F010","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/2/2025","HYP11369800","Product","Change in Smell/Texture/Colour/Consistency","VIP HAZEL LIP BALM WITH 1% VIT E, 2% SQUALANE & PEPTIDES - 10G","HYPMUBX022F010","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/2/2025","HYP11420590","Product","Change in Smell/Texture/Colour/Consistency","VIP HAZEL LIP BALM WITH 1% VIT E, 2% SQUALANE & PEPTIDES - 10G","HYPMUBX022F010","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/2/2025","HYP11814290","Product","Change in Smell/Texture/Colour/Consistency","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/3/2025","HYP11578360","Product","Reversed after effects","ICE DUNK COOLING FACE MASK 31% COOLING ACTIVES - 50GM","HYPMUBX035F050","","","08_Aug'25","8_Aug Week 1","Whatsapp"
"8/3/2025","HYP11990780","Product","Texture Issue","ALL I NEED SUNSCREEN SPF50 PA++++ | BRIGHTENS WITH NIACINAMIDE","HYPMUBX004F050","","","08_Aug'25","8_Aug Week 1","Whatsapp"
