"Created Date","Order ID","Query Class","Query Category","Product Name","SKU","Batch Number","Delivery Partner","Month","Week","Source","Platform"
"8/1/2025","NA","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","NA","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP12256860","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP12232580","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","NA","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP12295390","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","NA","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP11601360","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP12263030","Technical","Payment Failure/ Amount deducted order not placed","ALL I NEED SUNSCREEN SPF50 PA++++ | BRIGHTENS WITH NIACINAMIDE","HYPMUBX004F050","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP12285210","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP12275390","Technical","Payment Failure/ Amount deducted order not placed","ALL I NEED SUNSCREEN SPF50 PA++++ | BRIGHTENS WITH NIACINAMIDE","HYPMUBX004F050","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","NA","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP12252620","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP12184490","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP12086300","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP12218800","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP12242050","Technical","Payment Failure/ Amount deducted order not placed","VIP VINTAGE LIP BALM WITH 1% VIT E, 2% SQUALANE & PEPTIDES - 10G","HYPMUBX024F010","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP12212770","Technical","Payment Failure/ Amount deducted order not placed","ALL I NEED SUNSCREEN SPF50 PA++++ | BRIGHTENS WITH NIACINAMIDE","HYPMUBX004F050","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","NA","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP11783720","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP12234560","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","NA","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","NA","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP12240530","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP2321950","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP12231830","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","NA","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP12239000","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","NA","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","NA","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","NA","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","NA","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP11306460","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP12210430","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP12216750","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP11954980","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP11713780","Technical","Payment Failure/ Amount deducted order not placed","ULTRA LIGHT WATER SUNSCREEN SPF 50 PA ++++ FOR UVA-UVB PROTECTION - 50ML","HYPMUBX008F050","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","NA","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
"8/1/2025","HYP12186760","Technical","Payment Failure/ Amount deducted order not placed","","","","","08_Aug'25","8_Aug Week 1","Whatsapp",""
