"Created Date","Order ID","Query Class","Query Category","Product Name","SKU","Batch Number","Delivery Partner","Month","Week","Source"
"12/1/2025","5651972","Product","Product Not Effective","Sweet Escape Perfume Body Lotion - 300ml","MCaf370","","Shadowfax","12_Dec'25","12_Dec Week 1","email"
"12/2/2025","5651972","Product","Change in Smell","Brightening Body Wash | 5% Niacinamide & Raspberry Extracts (300ml)","MCaf383_WB","PT5B012","Shadowfax","12_Dec'25","12_Dec Week 1","email"
"12/6/2025","5983119","Product","Change in consistency","Velvet Blur Matte Liquid Lipstick - Muted Rose","MCaf309","","Xpressbees","12_Dec'25","12_Dec Week 1","email"
"12/23/2025","6625287","Product","Others","By the Blues Brightening Perfume Body Lotion - 300ml","MCaf401","","","12_Dec'25","12_Dec Week 4","whatsapp"
"12/29/2025","6632246","Product","Product Not Effective","Detan & Oil Control Coffee Sunscreen SPF 50 PA++++ 50 ml","mcaf145_N","","","12_Dec'25","12_Dec Week 5","whatsapp"
"12/1/2025","6882700","Product","Change in Smell","Choco Body Butter - 250g","MCaf48","CBB-168","DELHIVERY","12_Dec'25","12_Dec Week 1","whatsapp"
"12/2/2025","6929443","Product","Change in consistency","Cosmic Craze Holographic Eyeliner - Disco Dreams","mcaf347","MELH002","Shadowfax","12_Dec'25","12_Dec Week 1","whatsapp"
"12/2/2025","6920175","Product","Change in consistency","Exfoliating Coffee Bathing Soap Trio - Value Pack - 75 g x 3","CMB217","","DELHIVERY","12_Dec'25","12_Dec Week 1","whatsapp"
"12/2/2025","6848356","Product","Reacted - Skin Rashes","By the Blues Brightening Perfume Body Lotion - 300ml","MCaf401","DNAK5157U","DELHIVERY","12_Dec'25","12_Dec Week 1","whatsapp"
"12/2/2025","6712937","Product","Product Not Effective","Choco Tinted Lip Balm with Berries - 4.5g","MCaf240","","DELHIVERY","12_Dec'25","12_Dec Week 1","whatsapp"
"12/2/2025","Fien338590","Product","Others","Sweet Escape Perfume Body Lotion - 300ml","MCaf370","","","12_Dec'25","12_Dec Week 1","instagram"
