"Created Date","Order ID","Query Class","Query Category","Product Name","SKU","Batch Number","Delivery Partner","Month","Week","Source"
"1/22/2026","697267b75092d544792bb5be","Product Suggestion/Recommendation","Dull skin issue","","","","","1_Jan'26","1_Jan Week 4","instagram"
"1/22/2026","6970fb3592934424568bd72d","Product Suggestion/Recommendation","Tan issue","","","","","1_Jan'26","1_Jan Week 4","whatsapp"
"1/22/2026","68fdcebb3bf002838ff22602","Product Suggestion/Recommendation","Dry skin issue","","","","","1_Jan'26","1_Jan Week 4","whatsapp"
"1/22/2026","696b6196e49cb63cc2c379c3","Product Suggestion/Recommendation","Dry skin issue","","","","","1_Jan'26","1_Jan Week 4","whatsapp"
"1/22/2026","6972277205f07d29d63e1dcc","Product Suggestion/Recommendation","Body-acne issue","","","","","1_Jan'26","1_Jan Week 4","whatsapp"
"1/22/2026","694a27cee92d2ebc30ddbdaf","Product Suggestion/Recommendation","Body-acne issue","","","","","1_Jan'26","1_Jan Week 4","whatsapp"
"1/23/2026","69736cf9bcc5713811b1d28b","Product Suggestion/Recommendation","Dull skin issue","","","","","1_Jan'26","1_Jan Week 4","whatsapp"
"1/23/2026","6972f94e5092d544792f44e7","Product Suggestion/Recommendation","Dull skin issue","","","","","1_Jan'26","1_Jan Week 4","whatsapp"
"1/26/2026","6977a89f89f90357e821c8c0","Product Suggestion/Recommendation","Dry skin issue","","","","","1_Jan'26","1_Jan Week 4","whatsapp"
"1/26/2026","6976e43c08388e092cae3aa0","Product Suggestion/Recommendation","Dry skin issue","","","","","1_Jan'26","1_Jan Week 4","whatsapp"
"1/25/2026","6945225702ffd7a3448b5091","Product Suggestion/Recommendation","Tan issue","","","","","1_Jan'26","1_Jan Week 4","whatsapp"
"1/25/2026","6976006b08388e092ca7d8a3","Product Suggestion/Recommendation","Dry skin issue","","","","","1_Jan'26","1_Jan Week 4","whatsapp"
"1/25/2026","6975eeb908388e092ca62e4a","Product Suggestion/Recommendation","Dry skin issue","","","","","1_Jan'26","1_Jan Week 4","instagram"
"1/24/2026","6974e3e9c97ceafa1b4cd728","Product Suggestion/Recommendation","Tan issue","","","","","1_Jan'26","1_Jan Week 4","whatsapp"
"1/24/2026","6974b258e1278558aba66449","Product Suggestion/Recommendation","Body-acne issue","","","","","1_Jan'26","1_Jan Week 4","instagram"
"1/28/2026","6979f53ad1bbd73744db8389","Product Suggestion/Recommendation","Body-acne issue","","","","","1_Jan'26","1_Jan Week 4","instagram"
"1/28/2026","6979f148d1bbd73744db2fc1","Product Suggestion/Recommendation","Tan issue","","","","","1_Jan'26","1_Jan Week 4","instagram"
"1/28/2026","6979d69dd1bbd73744d8bae0","Product Suggestion/Recommendation","Body-smell issue","","","","","1_Jan'26","1_Jan Week 4","instagram"
"1/28/2026","6979bd5c43a9003c37fa23a8","Product Suggestion/Recommendation","Dry skin issue","","","","","1_Jan'26","1_Jan Week 4","instagram"
"1/29/2026","7426907","Product Suggestion/Recommendation","Tan issue","","","","","1_Jan'26","1_Jan Week 5","whatsapp"
"1/30/2026","697cc84d1a0ebb7f3f318791","Product Suggestion/Recommendation","Body-acne issue","","","","","1_Jan'26","1_Jan Week 5","whatsapp"
"1/30/2026","697c8d531c231e47efbc4892","Product Suggestion/Recommendation","Tan issue","","","","","1_Jan'26","1_Jan Week 5","whatsapp"
"1/30/2026","697c2cd092f7b1c88844d4c4","Product Suggestion/Recommendation","Dry skin issue","","","","","1_Jan'26","1_Jan Week 5","instagram"
"1/29/2026","697bab1e69fca88fd166055e","Product Suggestion/Recommendation","Dry skin issue","","","","","1_Jan'26","1_Jan Week 5","instagram"
"2/1/2026","697ed84773ee237dac8339aa","Product Suggestion/Recommendation","Tan issue","","","","DELHIVERY","2_Feb'26","2_Feb Week 1","whatsapp"
"1/30/2026","697c98571a0ebb7f3f2cc7d5","Product Suggestion/Recommendation","Dry skin issue","","","","DELHIVERY","1_Jan'26","1_Jan Week 5","instagram"
"2/1/2026","697f2952fb2413027801f0fc","Product Suggestion/Recommendation","Dry skin issue","","","","DELHIVERY","2_Feb'26","2_Feb Week 1","whatsapp"
"1/31/2026","697ddefcb433d7d3ad8b805f","Product Suggestion/Recommendation","Tan issue","","","","DELHIVERY","1_Jan'26","1_Jan Week 5","instagram"
"2/1/2026","697efff5c384a7a88259c11b","Product Suggestion/Recommendation","Dull skin issue","","","","DELHIVERY","2_Feb'26","2_Feb Week 1","instagram"
